student_id;gender;CW;CH;SH;PL;RI;ME;TW;CF;E/I;S/N;T/F;J/P;group_1;group_2;has_belbin;has_mbti
137;F;9;4;6;9;14;9;10;10;2;6;12;0;6;;1;1
138;M;12;5;8;6;10;11;14;4;4;-4;-6;2;3;1;1;1
139;F;6;11;20;4;5;4;19;1;0;0;0;0;8;;1;0
140;F;7;11;20;7;6;5;6;8;6;0;4;14;1;;1;1
141;M;11;9;10;8;5;8;6;13;-4;12;10;8;9;9;1;1
142;M;10;11;13;9;6;5;13;3;4;-6;-6;-2;5;2;1;1
143;F;;;;;;;;;4;8;-4;12;;;0;1
144;F;13;12;13;1;8;8;10;5;8;-4;-8;0;4;3;1;1
145;M;6;12;8;10;6;3;11;13;0;-12;2;-4;2;1;1;1
146;M;;;;;;;;;;;;;;8;0;0
147;M;;;;;;;;;;;;;;;0;0
148;M;;;;;;;;;;;;;9;;0;0
149;M;16;8;20;7;4;5;4;6;6;4;18;14;6;;1;1
150;M;6;8;6;6;8;0;27;9;8;4;-10;-2;4;3;1;1
151;F;7;15;20;1;2;6;5;14;8;-14;0;0;11;10;1;1
152;F;4;27;15;7;0;2;13;2;2;6;2;2;8;3;1;1
153;M;;;;;;;;;;;;;1;;0;0
154;F;5;6;22;6;7;5;14;6;2;0;4;8;6;2;1;1
155;F;;;;;;;;;0;0;0;0;;;0;0
156;M;4;1;5;17;17;16;7;2;2;-4;-4;0;9;;1;1
157;F;8;10;13;6;3;2;11;16;4;6;-6;8;3;4;1;1
158;M;9;11;11;6;3;5;11;14;-2;6;2;18;2;;1;1
159;F;;;;;;;;;0;0;0;0;;;0;0
160;F;15;14;13;1;7;7;10;3;0;6;8;-2;10;9;1;1
161;F;10;4;39;3;3;2;6;3;8;14;4;12;3;6;1;1
162;F;12;7;7;8;7;7;19;3;4;-6;-6;4;11;10;1;1
163;M;16;8;7;13;0;11;15;0;2;-4;-8;10;7;7;1;1
164;F;7;4;12;9;7;9;15;6;6;-8;-12;-10;6;5;1;1
